dt_year,dt_date,id_event,confirm,nm_journalist,nm_nationality,nm_gender,nm_profession,nm_profession_role,nm_profession_org,nm_profession_topics,nm_event_cause,nm_event_status,nm_city,Latitude,Longitude,Admin Division 1 (State/province/other),Country/region,references
1992,1992-11-13,1,Yes,Ignacio Mendoza Castillo,Mexican,Male,Journalist,Executive,La Voz del Caribe,,Murder,Deceased,Iztapalapa,19.35738,-99.0671,Mexico City,Mexico,http://www.publicaciones.cucsh.udg.mx/pperiod/comsoc/pdf/18-19_1993/299-318.pdf|https://www.sipiapa.org/notas/1127288-mexico
1993,1993-02-01,2,Yes,Roberto Antonio Mancilla Herrera,Mexican,Male,Journalist,Staff,Cuarto Poder|Es!,crime|police,Murder,Deceased,Tuxtla Gutiérrez,16.7475,-93.1033,Chiapas,Mexico,https://alianzademediosmx.org/impunidad-en-mexico/roberto-antonio-mancilla-herrera/614|https://www.chiapasparalelo.com/opinion/2014/02/roberto-mancilla-a-21-anos-de-su-muerte/|https://alianzademedios.blob.core.windows.net.optimalcdn.com/docs/2021/08/23/caratulacasorobertoantoniomancillaherrera.pdf|https://www.proceso.com.mx/nacional/estados/2007/4/21/despues-de-15-anos-se-aclara-en-chiapas-crimen-del-periodista-roberto-mancilla-33349.html
1993,1993-02-01,3,Yes,José Carlos Aguilar Garza,Mexican,Male,Media Worker,Owner,El Popular|Y Punto|El Águila de Nuevo Laredo,local,Murder,Deceased,Nuevo Laredo,27.4885,-99.5076,Tamaulipas,Mexico,http://unmananaconpasado.blogspot.com/2011/09/5-la-familia-deandar-y-el-narcotrafico.html|https://laopiniondemexico.mx/calderoni-y-sus-amigos-narcotraficantes/
1993,1993-03-14,4,Yes,Jessica Elizalde de León,Mexican,Female,Journalist,Staff,Notiactualidades,local,Murder,Deceased,Ciudad Juárez,31.7354,-106.4830,Chihuahua,Mexico,https://www.ejecentral.com.mx/jessica-elizalde-periodista-asesinada-en-1993-a-30-anos-de-impunidad/|https://www.debate.com.mx/estados/Ciudad-Juarez-Han-pasado-30-anos-y-el-asesinato-de-la-periodista-Jessica-Elizalde-de-Leon-sigue-impune-20220914-0083.html|https://alianzademediosmx.org/noticias/en-la-impunidad-asesinato-de-periodista-jessica-elizalde-de-leon-tras-30-anos/1269|http://www.publicaciones.cucsh.udg.mx/pperiod/comsoc/pdf/20_1994/197-218.pdf
1993,1993-06-02,5,Yes,Araceli Caballero Hernández,Mexican,Female,Journalist,Staff,El Día,local,Murder,Deceased,Ecatepec de Morelos,19.5971,-99.0410,State of Mexico,Mexico,https://www.eumed.net/libros-gratis/2013b/1353/periodistas-mexico-desapariciones.html|https://issuu.com/unomasuno/docs/11oct09/17|https://www.voltairenet.org/article162603.html
1994,1994-03-17,6,Yes,José Agustín Reyes,Mexican,Male,Journalist,Staff,El Heraldo|Rasa,,Murder,Deceased,"La Paz, Baja California Sur",24.1421,-110.3122,Baja California Sur,Mexico,https://www.jornada.com.mx/2002/08/24/032n1est.php?printver=0|https://www.sipiapa.org/notas/1127235-mexico
1994,1994-06-06,7,Yes,Jorge Martín Dorantes,Mexican,Male,Journalist,Executive,El Crucero de la Ciudad,local,Murder,Deceased,Cuernavaca,18.9221,-99.2347,Morelos,Mexico,https://revistacaucelegal.com/2020/06/08/la-muerte-del-periodista-jorge-martin-dorantes/|https://scholar.harvard.edu/files/vrios/files/rios2012_politicalassassinations.pdf
1994,1994-07-06,8,Yes,Enrique Peralta Torres,Mexican,Male,Journalist,Staff,La Unión de Morelos,,Murder,Deceased,Jojutla,18.6000,-99.1833,Morelos,Mexico,https://cpj.org/data/people/enrique-peralta-torres/|https://www.sipiapa.org/notas/1127096-mexico|https://www.sipiapa.org/notas/1127235-mexico|https://scholar.harvard.edu/files/vrios/files/rios2012_politicalassassinations.pdf
1994,1994-07-11,9,Yes,José Luis Rojas,Mexican,Male,Journalist,Staff,La Unión de Morelos,,Murder,Deceased,Cuernavaca,18.9221,-99.2347,Morelos,Mexico,https://scholar.harvard.edu/files/vrios/files/rios2012_politicalassassinations.pdf
1995,1995-02-05,10,Yes,Ruperto Armenta Gerardo,Mexican,Male,Journalist,Staff,El Regional de Sinaloa,,Murder,Deceased,Guasave,25.5744,-108.4706,Sinaloa,Mexico,https://www.noroeste.com.mx/nacional/es-mexico-paraiso-de-asesinos-de-periodistas-JBNO991118|https://www.lajornadadeoriente.com.mx/puebla/desde-1992-en-mexico-solo-se-ha-hecho-justicia-en-el-asesinato-de-1-periodista-cpj/|https://plumaslibres.com.mx/2015/10/08/solo-1-asesinato-de-periodista-ha-sido-resuelto-en-mexico-en-23-anos/
