Lat,Lon,Title,X.1,FECHA,NOMBRE,MEDIO,GÉNERO,SEXENIO,X.2,X.3
23.9891553,-98.7026825,Tamaulipas,,2000/2/1,Luis Roberto Cruz Martínez,Multicosas,masculino,Ernesto Zedillo Ponce de León,,
23.9891553,-98.7026825,Tamaulipas,,2000/04/09,Pablo Pineda Gaucín,La Opinión,masculino,Ernesto Zedillo Ponce de León,,
19.4839446,-99.6899716,Estado de México,,2000/7/19,Hugo Sánchez Eustaqui,La Verdad,masculino,Ernesto Zedillo Ponce de León,,
28.5000001,-106.0000001,Chihuahua,,2001/2/19,José Luis Ortega Mata,Semanario de Ojinaga,masculino,Vicente Fox Quesada,,
28.5000001,-106.0000001,Chihuahua,,2001/3/9,José Barosa Bejarano,Alarma,masculino,Vicente Fox Quesada,,
23.9891553,-98.7026825,Tamaulipas,,2001/3/24,Saúl Martínez Gutiérrez,El Imparcial,masculino,Vicente Fox Quesada,,
23.9891553,-98.7026825,Tamaulipas,,2002/1/17,Felix Fernández García,Nueva Opción,masculino,Vicente Fox Quesada,,
19.333333,-96.666667,Veracruz,,2002/10/19,José Miranda Virgen,Imagen,masculino,Vicente Fox Quesada,,
17.666667,-100,Guerrero,,2003/12/13,Rafael Villafuerte Aguilar,La Razón,masculino,Vicente Fox Quesada,,
23.9891553,-98.7026825,Tamaulipas,,2004/3/19,Roberto Mora García,El Mañana,masculino,Vicente Fox Quesada,,
30.0338923,-115.1425107,Baja California,,2004/6/22,Francisco Ortiz Franco,Zeta,masculino,Vicente Fox Quesada,,
23.9891553,-98.7026825,Tamaulipas,,2004/8/31,Francisco Arratia,freelance,masculino,Vicente Fox Quesada,,
25.0000001,-107.5000001,Sinaloa,,2004/11/28,Gregorio Rodríguez,El Debate,masculino,Vicente Fox Quesada,,
19.333333,-96.666667,Veracruz,,2005/4/8,Raúl Gibb Guerrero,La Opinión,masculino,Vicente Fox Quesada,,
23.9891553,-98.7026825,Tamaulipas,,2005/4/16,Dolores García Escamilla,Stereo 91,femenino,Vicente Fox Quesada,,
20.3333331,-103.6666671,Jalisco,-,2005/9/17,José Reyes Brambila,Vallarta Milenio,masculino,Vicente Fox Quesada,-,-
27.3333331,-102.0000001,Coahuila,,2006/1/6,José Valdés,no determinado,masculino,Vicente Fox Quesada,,
19.207098,-101.878113,Michoacán,,2006/3/9,Jaime Olivera Bravo,freelance,masculino,Vicente Fox Quesada,,
23.9891553,-98.7026825,Tamaulipas,,2006/3/10,Ramiro Téllez Contreras,EXA FM,masculino,Vicente Fox Quesada,,
28.5000001,-106.0000001,Chihuahua,,2006/8/9,Enrique Perea Quintanilla,Dos Caras,masculino,Vicente Fox Quesada,,
17,-96.5,Oaxaca,,2006/10/27,Bradley Roland Will,Indymedia,masculino,Vicente Fox Quesada,,
17.666667,-100,Guerrero,,2006/11/10,Misael Tamayo Hernández,El Despertar de la Costa,masculino,Vicente Fox Quesada,,
19.4326296,-99.1331785,Ciudad de México,,2006/11/15,José Manuel Nava,Excélsior,masculino,Vicente Fox Quesada,,
19.333333,-96.666667,Veracruz,,2006/11/26,Roberto Marcos García,Testimonio,masculino,Vicente Fox Quesada,,
19.333333,-96.666667,Veracruz,,2006/11/30,Adolfo Sánchez Guzmán,Orizaba en Vivo,masculino,Vicente Fox Quesada,,
17,-96.5,Oaxaca,,2006/12/8,Raúl Marcial Pérez,El Gráfico,masculino,Felipe Calderón Hijonosa,,
17.666667,-100,Guerrero,,2007/4/6,Amado Ramírez Dillanes,Televisa,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2007/4/23,Saúl Noe Martínez,Interdiario,masculino,Felipe Calderón Hijonosa,,
19.207098,-101.878113,Michoacán,,2007/12/8,Gerardo García Pimentel,La Opinión de Michoacán,masculino,Felipe Calderón Hijonosa,,
23.9891553,-98.7026825,Tamaulipas,,2008/2/5,Francisco Ortiz Monroy,Diario de México,masculino,Felipe Calderón Hijonosa,,
19.4839446,-99.6899716,Estado de México,,2008/2/8,Bonifacio Cruz Santiago,Es Real,masculino,Felipe Calderón Hijonosa,,
19.4839446,-99.6899716,Estado de México,,2008/2/8,Alfonso Cruz Pacheco,Es Real,masculino,Felipe Calderón Hijonosa,,
17,-96.5,Oaxaca,,2008/4/7,Felicitas Martínez Sánchez,Radio Copala,femenino,Felipe Calderón Hijonosa,,
17,-96.5,Oaxaca,,2008/4/7,Teresa Bautista Merino,Radio Copala,femenino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2008/6/23,Candelario Pérez Pérez,Sucesos,masculino,Felipe Calderón Hijonosa,,
17.9507864,-92.4831221,Tabasco,,2008/9/23,Alejandro Fonseca Estrada,EXA ,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2008/10/9,David García Monroy,El Diario de Chihuahua,masculino,Felipe Calderón Hijonosa,,
19.207098,-101.878113,Michoacán,,2008/10/10,Miguel Villa Gómez Valle,La Noticia de Michoacán,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2008/11/13,Armando Rodríguez Carreón,El Diario,masculino,Felipe Calderón Hijonosa,,
17.666667,-100,Guerrero,,2009/2/13,Jean Paul Ibarra Ramírez,El Correo,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2009/2/22,Luis Méndez Hernández,Radiorama,masculino,Felipe Calderón Hijonosa,,
24.833333,-104.833333,Durango,,2009/5/3,Carlos Ortega Melo Samper,El Tiempo de Durango,masculino,Felipe Calderón Hijonosa,,
24.833333,-104.833333,Durango,,2009/5/25,Eliseo Barrón Hernández,Milenio,masculino,Felipe Calderón Hijonosa,,
17.666667,-100,Guerrero,,2009/7/28,Juan Daniel Martínez Gil,Radiorama,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2009/9/23,Norberto Miranda Madrid,Radio Visión,masculino,Felipe Calderón Hijonosa,,
24.833333,-104.833333,Durango,,2009/11/2,Bladimir Antuna Vázquez,El Tiempo de Durango,masculino,Felipe Calderón Hijonosa,,
19.6666671,-88.5000001,Quintana Roo,,2009/12/23,Alberto López Velázquez,Expresiones Tulum,masculino,Felipe Calderón Hijonosa,,
25.0000001,-107.5000001,Sinaloa,,2009/12/31,José Luis Romero,Línea Directa,masculino,Felipe Calderón Hijonosa,,
27.3333331,-102.0000001,Coahuila,,2010/1/8,Valentín Valdés Espinosa,Zócalo,masculino,Felipe Calderón Hijonosa,,
17.666667,-100,Guerrero,,2010/1/29,Jorge Ochoa Martínez,El Sol de La Costa,masculino,Felipe Calderón Hijonosa,,
23.9891553,-98.7026825,Tamaulipas,,2010/3/3,Jorge Rábago Valdez,La Prensa,masculino,Felipe Calderón Hijonosa,,
17.666667,-100,Guerrero,,2010/3/12,Evaristo Pacheco Solis,Visión Informativa,masculino,Felipe Calderón Hijonosa,,
17.666667,-100,Guerrero,,2010/6/28,Francisco Rodriguez Rios,El Sol de Acapulco,masculino,Felipe Calderón Hijonosa,,
19.207098,-101.878113,Michoacán,,2010/7/6,Hugo Olivera Cartas,La Voz de Michoacán,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2010/7/10,Guillermo Alcaraz Trejo,Omina,masculino,Felipe Calderón Hijonosa,,
26.2384363,-99.8873,Nuevo León,,2010/7/10,Marco Martinez Tijerina,La Tremenda,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2010/9/16,Carlos Santiago Orozco,El Diario,masculino,Felipe Calderón Hijonosa,,
23.9891553,-98.7026825,Tamaulipas,,2010/11/5,Alberto Guajardo Romero,Expreso,masculino,Felipe Calderón Hijonosa,,
26.2384363,-99.8873,Nuevo León,,2011/3/25,Luis Emmanuel Ruiz Carrillo,La Prensa de Maclova,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2011/6/1,Noel López Olguín,Noticias de Acayucan,masculino,Felipe Calderón Hijonosa,,
29.3333331,-110.6666671,Sonora,,2011/6/13,Pablo Aurelio Ruelas,El Regional,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2011/6/20,Miguel Angel López Velasco,Notiver,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2011/6/20,Misael López Solana,Notiver,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2011/7/27,Yolanda Ordaz de la Cruz,Notiver,femenino,Felipe Calderón Hijonosa,,
25.0000001,-107.5000001,Sinaloa,,2011/8/25,Humberto Millán Salazar,A Discusión,masculino,Felipe Calderón Hijonosa,,
23.9891553,-98.7026825,Tamaulipas,,2011/9/24,Elizabeth Macías Castro,Primera Hora,femenino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2012/4/28,Regina Martínez,Proceso,femenino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2012/5/3,Gullermo Luna,Veracruz News,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2012/5/3,Esteban Rodríguez,Veracruz News,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2012/5/3,Gabriel Huge,Veracruz News,masculino,Felipe Calderón Hijonosa,,
29.3333331,-110.6666671,Sonora,,2012/5/18,Marcos Ávila,El Regional de Sonora,masculino,Felipe Calderón Hijonosa,,
19.333333,-96.666667,Veracruz,,2012/6/14,Victor Manuel Baez,Milenio,masculino,Felipe Calderón Hijonosa,,
18.833333,-98,Puebla,,2012/11/14,Adrián Silva Moreno,freelance,masculino,Felipe Calderón Hijonosa,,
28.5000001,-106.0000001,Chihuahua,,2013/3/3,Jaime Gonzáles,Ojinaga News,masculino,Enrique Peña Nieto,,
27.3333331,-102.0000001,Coahuila,,2013/4/24,Daniel Martínez Bazaldúa,Vanguardia,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2013/7/17,Alberto López Bello,El Imparcial,masculino,Enrique Peña Nieto,,
23.9891553,-98.7026825,Tamaulipas,,2013/06/24,Mario Ricardo Chávez,El Ciudadano,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2014/2/11,Gregorio Jiménez,Notisur,masculino,Enrique Peña Nieto,,
23.0823582,-103.2085698,Zacatecas,,2014/7/29,Nolberto Herrera,Canal 9,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2014/8/11,Octavio Rojas,El Buen Tono,masculino,Enrique Peña Nieto,,
25.0000001,-107.5000001,Sinaloa,,2014/10/11,Atilano Román,Locutor - Asi es mi Tierra,masculino,Enrique Peña Nieto,,
25.0000001,-107.5000001,Sinaloa,,2014/10/22,Antonio Gamboa,Nueva Prensa,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2015/1/2,Moisés Sánchez Cerezo,La Unión,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2015/4/14,Abel Bautista Raymundo,Transmitiendo Sentimientos,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2015/5/4,Armando Saldaña,EXA FM,masculino,Enrique Peña Nieto,,
20.9876996,-101,Guanajuato,,2015/6/26,Gerardo Nieto,Nuevo Siglo,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2015/6/30,Juan Mendoza Delgado,Escribiendo la Verdad,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2015/7/2,Filadelfo Sánchez,La Favorita 103.3 FM,masculino,Enrique Peña Nieto,,
19.4326296,-99.1331785,Ciudad de México,,2015/7/31,Rubén Espinosa,Proceso y Cuartoscuro,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2016/1/21,Marcos Hernández Bautista,Noticias en la Costa,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2016/2/8,Anabel Flores,Sol de Orizaba,femenino,Enrique Peña Nieto,,
17.9507864,-92.4831221,Tabasco,,2016/2/20,Moisés Lutzow,Radio XEVX,masculino,Enrique Peña Nieto,,
17.666667,-100,Guerrero,,2016/4/25,Francisco Pacheco,El Sol de Acapulco,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2016/5/15,Manuel Torres González,Noticias MT,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2016/6/19,Elidio Ramos,El Sur,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2016/6/26,Salvador Olmos García,Radio Tu´un Ñuu Savi,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2016/7/20,Pedro Tamayo,Al Calor Político y El Piñero de la Cuenca,masculino,Enrique Peña Nieto,,
17,-96.5,Oaxaca,,2016/9/13,Agustín Pavia Pavia,Radio Tu´un Ñuu Savi,masculino,Enrique Peña Nieto,,
18.833333,-98,Puebla,,2016/9/15,Aurelio Cabrera Campos,El Gráfico de Huauchinango,masculino,Enrique Peña Nieto,,
28.5000001,-106.0000001,Chihuahua,,2016/12/10,Adrián Rodríguez,Antena Radio 7960 AM,masculino,Enrique Peña Nieto,,
17.666667,-100,Guerrero,,2017/3/2,Cecilio Pineda,La Voz de Tierra Caliente,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2017/3/19,Ricardo Monlui Cabrera,El Político y El Sol de Córdoba,masculino,Enrique Peña Nieto,,
28.5000001,-106.0000001,Chihuahua,,2017/3/23,Miroslava Breach,La Jornada,femenino,Enrique Peña Nieto,,
25.5818014,-111.5706164,Baja California Sur,,2017/4/15,Maximino Rodríguez Palacios,Colectivo Pericú,masculino,Enrique Peña Nieto,,
25.0000001,-107.5000001,Sinaloa,,2017/5/15,Javier Valdéz Cárdenas,Rio Doce yLa Jornada,masculino,Enrique Peña Nieto,,
20.3333331,-103.6666671,Jalisco,,2017/5/15,Jonathan Rodríguez,El Costeño,masculino,Enrique Peña Nieto,,
19.207098,-101.878113,Michoacán,,2017/6/14,Salvador Adame,Canal 6TV,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2017/7/9,Edwin Rivera Paz,freelance,masculino,Enrique Peña Nieto,,
30.0338923,-115.1425107,Baja California,,2017/7/31,Luciano Rivera,Dictamen BC y Canal CNR,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2017/8/22,Cándido Ríos,La Voz de Hueyapan y Diario de Acayucan,masculino,Enrique Peña Nieto,,
22.5000001,-100.4949145,San Luis Potosí ,,2017/10/6,Edgar Daniel Esqueda,Metrópoli San Luis y Vox Populi SLP,masculino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2017/12/19,Gumaro Pérez,La Voz del Sur,masculino,Enrique Peña Nieto,,
23.9891553,-98.7026825,Tamaulipas,,2018/1/13,Carlos Domínguez,El Horizonte de Matamoros,masculino,Enrique Peña Nieto,,
17.666667,-100,Guerrero,,2018/2/5,Pamela Montenegro,Denuncias Acapulco Sin Censura,femenino,Enrique Peña Nieto,,
19.333333,-96.666667,Veracruz,,2018/3/21,Leobardo Vázquez Atzin,Enlace Informativo Regional,masculino,Enrique Peña Nieto,,
17.9507864,-92.4831221,Tabasco ,,2018/5/15,Juan Carlos Huerta,620AM Sin Reservas,masculino,Enrique Peña Nieto,,
19.6666671,-88.5000001,Quintana Roo,,2018/6/29,José Guadalupe Chan Dzib,Semanario Playa News,masculino,Enrique Peña Nieto,,
19.6666671,-88.5000001,Quintana Roo,,2018/7/24,Rubén Pat Cahuich,Semanario Playa News,masculino,Enrique Peña Nieto,,
16.5000001,-92.5000001,Chiapas,,2018/9/21,Mario Leonel Gómez,El Heraldo de Chiapas,masculino,Enrique Peña Nieto,,
17.666667,-100,Guerrero,,2018/10/24,Gabriel Soriano Kuri,Radio y Televisión de Guerrero,masculino,Enrique Peña Nieto,,
21.8438765,-104.8714854,Nayarit,,2018/12/1,Jesús Alejandro Márquez Jiménez,Orión Informativo,masculino,Andrés Manuel López Obrador,,
25.5818014,-111.5706164,Baja California Sur,,2019/1/20,Rafael Murúa Manriquez,Radiokashana,masculino,Andrés Manuel López Obrador,,
18.75,-99,Morelos,,2019/2/20,Samir Flores Soberanes,Radio Amiltzinko 100.7 FM,masculino,Andrés Manuel López Obrador,,
29.3333331,-110.6666671,Sonora,,2019/3/15,Santiago Barroso,Noticias Red 653 y 91.1 FM Río Digital,masculino,Andrés Manuel López Obrador,,
17,-96.5,Oaxaca,,2019/05/02,Telésforo Santiago Enriquez,Estéreo El Cafetal 98.7 FM,masculino,Andrés Manuel López Obrador,,
19.6666671,-88.5000001,Quintana Roo,,2019/05/16,Francisco Romero,Ocurrió Aquí,masculino,Andrés Manuel López Obrador,,
17.9507864,-92.4831221,Tabasco,,2019/06/11,Norma Sarabia,Semanario Chontalpa,femenino,Andrés Manuel López Obrador,,
18.75,-99,Morelos,,2019/07/30,Rogelio Barragán,Guerrero Al Instante,masculino,Andrés Manuel López Obrador,,
17.666667,-100,Guerrero,,2019/08/02,Edgar Alberto Nava López,La Verdad Zihuatenejo,masculino,Andrés Manuel López Obrador,,
19.333333,-96.666667,Veracruz,,2019/08/02,Jorge Celestino Ruíz Váquez,El Gráfico de Xalapa,masculino,Andrés Manuel López Obrador,,
19.4839446,-99.6899716,Estado de México,,2019/08/24,Nevith Condés Jaramillo,El Observatorio del Sur,masculino,Andrés Manuel López Obrador,,
19.333333,-96.666667,Veracruz,,2020/03/30,María Elena Ferral,,,,,
,Diario de Xalapa y Quinto Poder,femenino,Andrés Manuel López Obrador,,,,,,,
29.3333331,-110.6666671,Sonora,,2020/05/16,Jorge Miguel Armenta Ramos,Medios Obson,masculino,Andrés Manuel López Obrador,,
17.666667,-100,Guerrero,,2020/08/02,Pablo Morrugares Parraguirre,PM Noticias,masculino,Andrés Manuel López Obrador,,
27.3333331,-102.0000001,Coahuila,,2020/08/21,Juan Nelcio Espinoza,Valedor TV,masculino,Andrés Manuel López Obrador,,
19.333333,-96.666667,Veracruz,,2020/09/09,Julio Valdivia,El Mundo de Córdoba,masculino,Andrés Manuel López Obrador,,
20.9876996,-101,Guanajuato,,2020/11/09,Israel Vázquez Rangel,El Salmantino,masculino,Andrés Manuel López Obrador,,
23.0823582,-103.2085698,Zacatecas,,2020/12/09,Jaime Daniel Castaño Zacarías,Portal prensalibremx.com ,masculino,Andrés Manuel López Obrador,,
