dt_year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Bolivia,Bosnia_and_Herzegovina,Brazil,Bulgaria,Burkina_Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Central_African_Republic,Chad,Chile,China,Colombia,Congo,Congo__the_Democratic_Republic_of_the,Costa_Rica,Croatia,Cyprus,Denmark,Dominican_Republic,Ecuador,Egypt,El_Salvador,Eritrea,Ethiopia,France,Gabon,Gambia,Georgia,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,India,Indonesia,Iran__Islamic_Republic_of,Iraq,Ireland,Israel,Ivory_Coast,Japan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Madagascar,Maldives,Mali,Malta,Mexico,Montenegro,Mozambique,Nepal,Netherlands,Nicaragua,Nigeria,Pakistan,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Russia,Rwanda,Saudi_Arabia,Serbia,Sierra_Leone,Slovakia,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,Sudan,Syrian_Arab_Republic,Tajikistan,Tanzania__United_Republic_of,Thailand,Timor_Leste,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United_Kingdom,United_States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2009,22,0,60,9,3,1,4,0,16,0,5,2,25,21,1,1,3,3,9,0,2,0,3,0,3,73,3,8,1,4,1,0,3,2,2,4,2,2,1,1,2,9,0,0,17,0,9,5,44,7,4,210,1,12,4,1,3,3,1,2,1,8,0,0,1,1,2,0,0,0,46,1,1,13,0,2,12,35,0,1,2,10,99,1,76,22,1,12,16,0,33,3,0,1,25,2,0,29,0,12,2,0,22,1,2,10,3,6,1,1,8,0,0,0,1
2017,50,0,60,11,4,1,6,3,30,0,6,3,25,52,2,1,6,4,12,1,2,1,3,0,5,85,3,14,1,4,1,1,6,3,13,6,2,2,10,1,2,9,1,1,23,4,9,27,74,11,5,274,1,21,6,1,3,5,1,2,1,10,0,0,13,1,2,2,2,1,99,1,2,17,0,2,20,89,1,1,7,16,138,2,82,23,1,12,17,0,71,4,10,1,25,2,134,29,2,16,2,1,30,1,5,19,3,9,1,1,9,1,22,0,1
2006,14,0,60,9,3,1,3,0,16,0,5,1,25,19,0,1,2,3,8,0,2,0,3,0,2,69,2,4,1,2,1,0,2,2,2,2,0,2,1,1,1,6,0,0,12,0,7,2,35,6,3,139,1,8,4,1,1,1,1,1,1,8,0,0,1,1,1,0,0,0,25,1,1,8,0,2,9,16,0,1,1,9,53,1,65,22,1,12,16,0,14,3,0,1,14,2,0,29,0,9,2,0,20,1,2,10,3,5,1,1,6,0,0,0,0
1996,1,0,58,7,1,0,2,0,2,0,1,0,25,5,0,0,0,3,4,0,1,0,3,0,0,11,1,2,0,2,1,0,1,0,2,1,0,0,0,0,0,3,0,0,4,0,1,1,9,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,0,0,0,2,2,0,1,0,4,9,1,31,21,0,1,0,0,9,3,0,0,0,1,0,28,0,0,0,0,19,0,1,3,1,2,0,1,2,0,0,0,0
2001,11,0,60,9,3,0,2,0,7,0,1,1,25,11,0,1,2,3,7,0,2,0,3,0,1,47,2,2,1,2,1,0,1,0,2,2,0,2,1,0,0,6,0,0,10,0,4,1,24,3,2,1,1,2,1,0,0,1,1,0,1,4,0,0,0,1,1,0,0,0,12,0,1,1,0,0,8,7,0,1,1,7,18,1,49,22,0,11,15,0,10,3,0,1,6,1,0,29,0,6,2,0,20,0,1,9,3,5,1,1,2,0,0,0,0
1994,1,0,27,5,1,0,1,0,0,0,1,0,24,1,0,0,0,1,3,0,0,0,3,0,0,7,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,3,0,0,1,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,2,0,1,0,4,7,1,13,21,0,1,0,0,8,3,0,0,0,1,0,26,0,0,0,0,17,0,0,0,0,2,0,0,2,0,0,0,0
1997,1,0,58,7,2,0,2,0,2,0,1,0,25,7,0,0,0,3,7,0,1,0,3,0,0,16,1,2,0,2,1,0,1,0,2,2,0,0,0,0,0,3,0,0,7,0,1,1,16,3,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,7,0,0,0,0,0,2,3,0,1,0,5,10,1,32,21,0,1,1,0,9,3,0,0,0,1,0,28,0,0,0,0,19,0,1,5,1,2,0,1,2,0,0,0,0
2014,33,0,60,11,4,1,5,3,23,0,6,3,25,40,2,1,4,3,12,1,2,1,3,0,5,81,3,12,1,4,1,0,4,3,13,5,2,2,1,1,2,9,0,1,20,3,9,23,61,11,5,247,1,21,6,1,3,4,1,2,1,10,0,0,9,1,2,1,2,0,76,1,1,17,0,2,19,81,1,1,6,15,125,1,80,23,1,12,17,0,62,4,1,1,25,2,90,29,2,16,2,1,24,1,5,17,3,6,1,1,9,1,6,0,1
2003,11,0,60,9,3,1,2,0,10,0,3,1,25,15,0,1,2,3,8,0,2,0,3,0,1,62,2,2,1,2,1,0,1,0,2,2,0,2,1,1,0,6,0,0,11,0,4,2,30,5,3,22,1,7,3,1,0,1,1,1,1,4,0,0,0,1,1,0,0,0,12,0,1,6,0,0,8,10,0,1,1,7,26,1,56,22,0,11,15,0,11,3,0,1,6,1,0,29,0,7,2,0,20,0,2,9,3,5,1,1,3,0,0,0,0
2004,11,0,60,9,3,1,2,0,14,0,4,1,25,18,0,1,2,3,8,0,2,0,3,0,1,64,2,2,1,2,1,0,2,0,2,2,0,2,1,1,1,6,0,0,11,0,5,2,33,5,3,59,1,8,4,1,1,1,1,1,1,4,0,0,0,1,1,0,0,0,16,1,1,7,0,2,8,11,0,1,1,9,37,1,58,22,1,11,15,0,11,3,0,1,9,1,0,29,0,7,2,0,20,0,2,10,3,5,1,1,4,0,0,0,0
