nm_country_common,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guatemala,0,0,1,2,4,7,7,8,9,10,10,11,11,11,12,13,15,17,17,18,18,20,20,22,23,23,24,24,26,26,27,27
Kuwait,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ukraine,0,0,0,2,3,5,5,5,7,9,9,9,10,10,10,10,10,10,10,10,10,10,17,18,19,19,19,20,20,20,35,37
Timor-Leste,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
France,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
Nigeria,0,0,0,0,2,2,4,8,8,8,8,8,8,8,9,9,11,12,15,16,18,19,19,19,19,20,20,21,24,24,24,24
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Poland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Turkey,11,15,17,18,19,19,19,20,20,20,20,20,20,20,20,21,21,22,23,23,23,23,24,27,29,30,30,30,30,30,31,31
Uganda,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Honduras,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,5,14,18,19,21,23,23,23,27,27,31,35,35,37,37
Afghanistan,0,0,1,1,1,1,2,2,2,11,11,11,11,11,14,17,19,22,25,27,28,28,33,33,39,50,66,68,74,78,78,79
Ireland,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,1,9,27,51,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Costa Rica,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5
Egypt,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,12,13,13,13,13,13,13,13,13,13,13
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
Indonesia,0,0,0,0,1,3,3,3,3,3,3,5,5,5,6,6,6,7,10,10,11,11,11,11,11,11,12,12,12,13,13,13
Azerbaijan,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,6,6,6,6,6,6,8,8,8
Russia,0,8,13,24,31,32,35,40,47,49,53,56,58,60,65,67,71,76,76,77,78,80,80,80,80,82,83,83,83,83,83,83
Lithuania,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Cambodia,0,0,3,3,4,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,10,10,12,12,12,12,12,12,12,12,12,12
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lebanon,2,3,3,3,3,3,3,4,4,4,4,4,4,6,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,11,11,11
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
United Kingdom,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spain,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colombia,1,5,7,10,11,16,25,32,39,47,56,62,64,66,69,70,70,73,75,76,78,80,81,84,84,85,88,90,92,93,95,96
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia,0,3,3,3,3,3,4,4,5,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,8,9,10,13,13,14,15,15,15,15,15
Chad,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Gabon,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Somalia,0,5,8,9,9,9,9,9,10,10,10,11,11,13,14,22,24,33,36,39,53,58,62,65,68,71,78,80,81,83,85,85
