dt_year,nm_event_status,num_events
2003,Muertos,61
2013,Muertos,107
1996,Muertos,38
2002,Muertos,38
2021,Muertos,45
2001,Muertos,58
2014,Muertos,103
1997,Muertos,36
2006,Muertos,106
2020,Muertos,50
2023,Muertos,21
2011,Muertos,93
1992,Muertos,57
2019,Muertos,54
2015,Muertos,114
2016,Muertos,85
1999,Muertos,56
2005,Muertos,67
1998,Muertos,38
2012,Muertos,118
2004,Muertos,87
2022,Muertos,75
1995,Muertos,61
2000,Muertos,47
2018,Muertos,94
1993,Muertos,76
1994,Muertos,85
2017,Muertos,81
2010,Muertos,89
2008,Muertos,77
2009,Muertos,110
2007,Muertos,115
