cd_country_iso3,nm_country_common,county_lat,country_lon,nm_event_status,num_events
IRN,Iran,32,53,Muertos,6
KGZ,Kyrgyzstan,41,75,Muertos,2
SYR,Syrian Arab Republic,35,38,Muertos,155
TUN,Tunisia,34,9,Muertos,1
GAB,Gabon,-1,11.75,Muertos,1
SAU,Saudi Arabia,25,45,Muertos,2
EGY,Egypt,27,30,Muertos,13
MEX,Mexico,23,-102,Desaparecidos,15
BIH,Bosnia and Herzegovina,44,18,Muertos,25
NGA,Nigeria,10,8,Muertos,24
CHL,Chile,-30,-71,Muertos,1
RUS,Russia,60,100,Desaparecidos,7
SRB,Serbia,44,21,Desaparecidos,1
MLI,Mali,17,-4,Muertos,2
COD,Democratic Republic of the Congo,0,25,Muertos,16
ARG,Argentina,-34,-64,Muertos,4
TJK,Tajikistan,39,71,Muertos,29
LVA,Latvia,57,25,Muertos,1
BOL,Bolivia,-17,-65,Muertos,3
HTI,Haiti,19,-72.4167,Desaparecidos,1
BFA,Burkina Faso,13,-2,Muertos,3
COL,Colombia,4,-72,Muertos,96
BDI,Burundi,-3.5,30,Desaparecidos,1
VEN,Venezuela,8,-66,Muertos,10
FRA,France,46,2,Muertos,10
UKR,Ukraine,49,32,Muertos,37
ZWE,Zimbabwe,-20,30,Muertos,1
MOZ,Mozambique,-18.25,35,Muertos,2
IDN,Indonesia,-5,120,Muertos,13
BRA,Brazil,-10,-55,Muertos,60
PNG,Papua New Guinea,-6,147,Muertos,1
CAF,Central African Republic,7,21,Muertos,5
RWA,Rwanda,-2,30,Muertos,24
TZA,Tanzania,-6,35,Muertos,2
UKR,Ukraine,49,32,Desaparecidos,1
NIC,Nicaragua,13,-85,Muertos,3
NLD,Netherlands,52.5,5.75,Muertos,1
KEN,Kenya,1,38,Muertos,6
CMR,Cameroon,6,12,Muertos,4
BGD,Bangladesh,24,90,Muertos,35
ECU,Ecuador,-2,-77.5,Muertos,4
SSD,South Sudan,8,30,Muertos,10
ETH,Ethiopia,8,38,Muertos,5
SVK,Slovakia,48.6667,19.5,Muertos,1
MOZ,Mozambique,-18.25,35,Desaparecidos,1
JPN,Japan,36,138,Muertos,1
RUS,Russia,60,100,Muertos,83
BRB,Barbados,13.1667,-59.5333,Muertos,1
PHL,Philippines,13,122,Muertos,157
PAK,Pakistan,30,70,Muertos,97
URY,Uruguay,-33,-56,Muertos,1
IND,India,20,77,Muertos,90
MMR,Burma,22,98,Muertos,10
SLE,Sierra Leone,8.5,-11.5,Muertos,18
SRB,Serbia,44,21,Muertos,12
SLV,El Salvador,13.8333,-88.9167,Muertos,6
CHN,China,35,105,Desaparecidos,1
CIV,Ivory Coast,8,-5,Desaparecidos,1
ZMB,Zambia,-15,30,Muertos,1
YEM,Yemen,15,48,Muertos,35
GMB,Gambia,13.4667,-16.5667,Muertos,2
HRV,Croatia,45.1667,15.5,Muertos,4
LSO,Lesotho,-29.5,28.5,Muertos,1
IRL,Ireland,53,-8,Muertos,1
MDG,Madagascar,-20,47,Muertos,2
LKA,Sri Lanka,7,81,Muertos,25
GIN,Guinea,11,-10,Muertos,4
GTM,Guatemala,15.5,-90.25,Muertos,27
UGA,Uganda,1,32,Muertos,5
LBY,Libya,25,17,Desaparecidos,4
DZA,Algeria,28,3,Desaparecidos,3
LBY,Libya,25,17,Muertos,15
BLR,Belarus,53,28,Muertos,6
AZE,Azerbaijan,40.5,47.5,Muertos,8
THA,Thailand,15,100,Muertos,16
EGY,Egypt,27,30,Desaparecidos,1
TZA,Tanzania,-6,35,Desaparecidos,1
MNE,Montenegro,42,19,Muertos,1
PYF,French Polynesia,-15,-140,Desaparecidos,1
TUR,Turkey,39,35,Muertos,31
IRQ,Iraq,33,44,Muertos,279
ZAF,South Africa,-29,24,Muertos,5
GHA,Ghana,8,-2,Muertos,2
MLT,Malta,35.8333,14.5833,Muertos,1
IRQ,Iraq,33,44,Desaparecidos,9
HND,Honduras,15,-86.5,Muertos,37
GEO,Georgia,42,43.5,Muertos,10
TKM,Turkmenistan,40,60,Muertos,1
CYP,Cyprus,35,33,Muertos,1
YEM,Yemen,15,48,Desaparecidos,1
DZA,Algeria,28,3,Muertos,60
KAZ,Kazakhstan,48,68,Muertos,4
ARM,Armenia,40,45,Muertos,1
BDI,Burundi,-3.5,30,Muertos,4
LBN,Lebanon,33.8333,35.8333,Muertos,11
SYR,Syrian Arab Republic,35,38,Desaparecidos,8
AGO,Angola,-12.5,18.5,Muertos,11
GRC,Greece,39,22,Muertos,2
MDV,Maldives,3.25,73,Muertos,2
LKA,Sri Lanka,7,81,Desaparecidos,1
NPL,Nepal,28,84,Muertos,17
PER,Peru,-10,-76,Muertos,17
USA,United States,38,-97,Muertos,17
POL,Poland,52,20,Muertos,2
MEX,Mexico,23,-102,Muertos,151
TCD,Chad,15,19,Muertos,6
LBN,Lebanon,33.8333,35.8333,Desaparecidos,1
VNM,Vietnam,16,106,Muertos,1
LTU,Lithuania,56,24,Muertos,1
RWA,Rwanda,-2,30,Desaparecidos,2
KWT,Kuwait,29.3375,47.6581,Muertos,1
BHR,Bahrain,26,50.55,Muertos,3
AFG,Afghanistan,33,65,Muertos,79
DNK,Denmark,56,10,Muertos,1
HTI,Haiti,19,-72.4167,Muertos,19
SDN,Sudan,15,30,Muertos,2
DOM,Dominican Republic,19,-70.6667,Muertos,6
IDN,Indonesia,-5,120,Desaparecidos,1
ALB,Albania,41,20,Muertos,1
COD,Democratic Republic of the Congo,0,25,Desaparecidos,2
KHM,Cambodia,13,105,Muertos,12
TLS,Timor-Leste,-8.55,125.5167,Muertos,2
CIV,Ivory Coast,8,-5,Muertos,6
CRI,Costa Rica,10,-84,Muertos,1
ESP,Spain,40,-4,Muertos,1
CAN,Canada,60,-95,Muertos,2
ISR,Israel,31.5,34.75,Muertos,25
ERI,Eritrea,15,39,Muertos,2
PRY,Paraguay,-23,-58,Muertos,10
SOM,Somalia,10,49,Muertos,85
GBR,United Kingdom,54,-2,Muertos,4
CHN,China,35,105,Muertos,5
COG,Congo,-1,15,Muertos,3
BGR,Bulgaria,43,25,Muertos,3
PAN,Panama,9,-80,Muertos,1
LBR,Liberia,6.5,-9.5,Muertos,1
UZB,Uzbekistan,41,64,Muertos,1
